Event,Count
Social,4
Singles,4
Outdoors,4
Fitness,4
Adventure,4
Hiking,4
Travel,4
International Travel,2
Wine,2
Outdoor Adventures,2
Backpacking,2
Snowboarding and Skiing,2
"Fun, Cool, Girlfriends",2
Professional Women,2
Vacations,2
Back country hiking,2
"Dining Out, BBQs, Food Fairs, Happy Hour and More",2
events & cocktails,2
cocktails and happy hour,2
Adventure Travel,2
Camping,2
Girlfriend Get-togethers,2
Walking,2
Active Lifestyle,2
Wilderness Hiking,2
Exercise,2
New Girlfriends,2
Backpacking and Camping,2
Road Trips,2
Dining Out,2
Winter Sports,2
Outdoor  Fitness,2
Skiing,2
Social Networking,2
Women's Social,2
Weekend Getaways,2
Cocktails,2
"Eating, Drinking, Talking, Laughing, Etc",2
Alternative Energy,1
Professional Counseling,1
Awareness,1
Self awareness workshops,1
Spirituality,1
Consciousness,1
Self-Improvement,1
